root,m_lemma,m_gender,m_definition,f_lemma,f_gender,f_definition,n_lemma,n_gender,n_definition
abel_tas,young_man,PPN,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659),abel_taswoman,,,abel_tasman,PPN,Dutch navigator who was the first European to discover Tasmania and New Zealand (1603-1659)
able-bodied_sea,young_man,M,a seaman in the merchant marine; trained in special skills,able-bodied_seawoman,,,able-bodied_seaman,M,a seaman in the merchant marine; trained in special skills
able_sea,young_man,M,a seaman in the merchant marine; trained in special skills,able_seawoman,,,able_seaman,M,a seaman in the merchant marine; trained in special skills
abominable_snow,young_man,,a large hairy humanoid creature said to live in the Himalayas,abominable_snowwoman,,,abominable_snowman,,a large hairy humanoid creature said to live in the Himalayas
ad,young_man,N,someone whose business is advertising,adwoman,,,adman,N,someone whose business is advertising
ahri,young_man,,the spirit of evil in Zoroastrianism; arch rival of Ormazd,ahriwoman,,,ahriman,,the spirit of evil in Zoroastrianism; arch rival of Ormazd
aircraft,young_man,N,a noncommissioned officer in the British Royal Air Force,aircraftwoman,,,aircraftman,N,a noncommissioned officer in the British Royal Air Force
aircrafts,young_man,N,a noncommissioned officer in the British Royal Air Force,aircraftswoman,,,aircraftsman,N,a noncommissioned officer in the British Royal Air Force
aircrew,young_man,N,a member of an aircrew,aircrewwoman,,,aircrewman,N,a member of an aircrew
alaba,young_man,N,a native or resident of Alabama,alabawoman,,,alabaman,N,a native or resident of Alabama
alder,young_man,N,a member of a municipal legislative body (as a city council),alderwoman,,,alderman,N,a member of a municipal legislative body (as a city council)
alfred_edward_hous,young_man,PPN,English poet (1859-1936),alfred_edward_houswoman,,,alfred_edward_housman,PPN,English poet (1859-1936)
anchor,young_man,N,a television reporter who coordinates a broadcast to which several correspondents contribute,anchorwoman,,,anchorman,N,a television reporter who coordinates a broadcast to which several correspondents contribute
ape-,young_man,,hypothetical organism formerly thought to be intermediate between apes and human beings,ape-woman,,,ape-man,,hypothetical organism formerly thought to be intermediate between apes and human beings
artillery,young_man,N,a serviceman in the artillery,artillerywoman,,,artilleryman,N,a serviceman in the artillery
assistant_fore,young_man,N,a member of a work gang who supervises the other workers,assistant_forewoman,,,assistant_foreman,N,a member of a work gang who supervises the other workers
averell_harri,young_man,PPN,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986),averell_harriwoman,,,averell_harriman,PPN,United States financier who negotiated a treaty with the Soviet Union banning tests of nuclear weapons (1891-1986)
backup_,young_man,N,someone who takes the place of another (as when things get dangerous or difficult),backup_woman,,,backup_man,N,someone who takes the place of another (as when things get dangerous or difficult)
backwoods,young_man,M,a man who lives on the frontier,backwoodswoman,,,backwoodsman,M,a man who lives on the frontier
baggage,young_man,N,an attendant who takes care of baggage,baggagewoman,,,baggageman,N,an attendant who takes care of baggage
bag,young_man,M,a salesman who travels to call on customers,bagwoman,,,bagman,M,a salesman who travels to call on customers
bands,young_man,N,a player in a band (especially a military band),bandswoman,,,bandsman,N,a player in a band (especially a military band)
barbara_tuch,young_man,PPN,United States historian (1912-1989),barbara_tuchwoman,,,barbara_tuchman,PPN,United States historian (1912-1989)
barbara_wertheim_tuch,young_man,PPN,United States historian (1912-1989),barbara_wertheim_tuchwoman,,,barbara_wertheim_tuchman,PPN,United States historian (1912-1989)
barge,young_man,N,someone who operates a barge,bargewoman,,,bargeman,N,someone who operates a barge
bar,young_man,N,an employee who mixes and serves alcoholic drinks at a bar,barwoman,,,barman,N,an employee who mixes and serves alcoholic drinks at a bar
barrow-,young_man,N,a hawker of fruit and vegetables from a barrow,barrow-woman,,,barrow-man,N,a hawker of fruit and vegetables from a barrow
bat,young_man,N,an orderly assigned to serve a British military officer,batwoman,,,batman,N,an orderly assigned to serve a British military officer
bats,young_man,,(baseball) a ballplayer who is batting,batswoman,,,batsman,,(baseball) a ballplayer who is batting
beads,young_man,N,a person who is paid to pray for the soul of another,beadswoman,,,beadsman,N,a person who is paid to pray for the soul of another
bedes,young_man,N,a person who is paid to pray for the soul of another,bedeswoman,,,bedesman,N,a person who is paid to pray for the soul of another
beef_,young_man,M,a man who raises (or tends) cattle,beef_woman,,,beef_man,M,a man who raises (or tends) cattle
belle_miriam_silver,young_man,PPN,United States operatic soprano (born in 1929),belle_miriam_silverwoman,,,belle_miriam_silverman,PPN,United States operatic soprano (born in 1929)
bell,young_man,N,someone employed as an errand boy and luggage carrier around hotels,bellwoman,,,bellman,N,someone employed as an errand boy and luggage carrier around hotels
benjamin_david_good,young_man,PPN,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986),benjamin_david_goodwoman,,,benjamin_david_goodman,PPN,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)
benny_good,young_man,PPN,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986),benny_goodwoman,,,benny_goodman,PPN,United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)
berg,young_man,PPN,Swedish film actress (1915-1982),bergwoman,,,bergman,PPN,Swedish film actress (1915-1982)
best_,young_man,M,the principal groomsman at a wedding,best_woman,,,best_man,M,the principal groomsman at a wedding
big_business,young_man,N,a very wealthy or powerful businessman,big_businesswoman,,,big_businessman,N,a very wealthy or powerful businessman
boat,young_man,N,someone who drives or rides in a boat,boatwoman,,,boatman,N,someone who drives or rides in a boat
bogey,young_man,,an imaginary monster used to frighten children,bogeywoman,,,bogeyman,,an imaginary monster used to frighten children
boogey,young_man,,an imaginary monster used to frighten children,boogeywoman,,,boogeyman,,an imaginary monster used to frighten children
book,young_man,N,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines,bookwoman,,,bookman,N,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
border_patrol,young_man,N,someone who patrols the borders of a country,border_patrolwoman,,,border_patrolman,N,someone who patrols the borders of a country
bow,young_man,N,a person who is expert in the use of a bow and arrow,bowwoman,,,bowman,N,a person who is expert in the use of a bow and arrow
brah,young_man,N,a member of a social and cultural elite (especially a descendant of an old New England family),brahwoman,,,brahman,N,a member of a social and cultural elite (especially a descendant of an old New England family)
brake,young_man,N,a railroad employee responsible for a train's brakes,brakewoman,,,brakeman,N,a railroad employee responsible for a train's brakes
broth_of_a_,young_man,N,an outstanding person; as if produced by boiling down a savory broth,broth_of_a_woman,,,broth_of_a_man,N,an outstanding person; as if produced by boiling down a savory broth
bush,young_man,N,a member of the race of nomadic hunters and gatherers who live in southern Africa,bushwoman,,,bushman,N,a member of the race of nomadic hunters and gatherers who live in southern Africa
bus,young_man,N,someone who drives a bus,buswoman,,,busman,N,someone who drives a bus
cab,young_man,N,someone who drives a taxi for a living,cabwoman,,,cabman,N,someone who drives a taxi for a living
camera,young_man,N,a photographer who operates a movie camera,camerawoman,,,cameraman,N,a photographer who operates a movie camera
cardinal_new,young_man,PPN,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890),cardinal_newwoman,,,cardinal_newman,PPN,English prelate and theologian who (with John Keble and Edward Pusey) founded the Oxford movement; Newman later turned to Roman Catholicism and became a cardinal (1801-1890)
career_,young_man,M,a man who is a careerist,career_woman,,,career_man,M,a man who is a careerist
cattle,young_man,M,a man who raises (or tends) cattle,cattlewoman,,,cattleman,M,a man who raises (or tends) cattle
cavalry,young_man,N,a soldier in a motorized army unit,cavalrywoman,,,cavalryman,N,a soldier in a motorized army unit
cave_,young_man,N,someone who lives in a cave,cave_woman,,,cave_man,N,someone who lives in a cave
cave,young_man,N,someone who lives in a cave,cavewoman,,,caveman,N,someone who lives in a cave
chap,young_man,PPN,United States pioneer who planted apple trees as he traveled (1774-1845),chapwoman,,,chapman,PPN,United States pioneer who planted apple trees as he traveled (1774-1845)
charge,young_man,N,a workman employed to blast with explosives,chargewoman,,,chargeman,N,a workman employed to blast with explosives
charlotte_anna_perkins_gil,young_man,PPN,United States feminist (1860-1935),charlotte_anna_perkins_gilwoman,,,charlotte_anna_perkins_gilman,PPN,United States feminist (1860-1935)
china,young_man,,(ethnic slur) offensive term for a person of Chinese descent,chinawoman,,,chinaman,,(ethnic slur) offensive term for a person of Chinese descent
christiaan_eijk,young_man,PPN,Dutch physician who discovered that beriberi is caused by a nutritional deficiency (1858-1930),christiaan_eijkwoman,,,christiaan_eijkman,PPN,Dutch physician who discovered that beriberi is caused by a nutritional deficiency (1858-1930)
church,young_man,N,a clergyman or other person in religious orders,churchwoman,,,churchman,N,a clergyman or other person in religious orders
city_,young_man,N,a financier who works in one of the banks in the City of London,city_woman,,,city_man,N,a financier who works in one of the banks in the City of London
clergy,young_man,N,a member of the clergy and a spiritual leader of the Christian Church,clergywoman,,,clergyman,N,a member of the clergy and a spiritual leader of the Christian Church
coach,young_man,M,a man who drives a coach (or carriage),coachwoman,,,coachman,M,a man who drives a coach (or carriage)
coal,young_man,N,someone who delivers coal,coalwoman,,,coalman,N,someone who delivers coal
coastguards,young_man,N,a member of a coastguard,coastguardswoman,,,coastguardsman,N,a member of a coastguard
college_,young_man,N,a student (or former student) at a college or university,college_woman,,,college_man,N,a student (or former student) at a college or university
common_,young_man,N,a person who holds no title,common_woman,,,common_man,N,a person who holds no title
company_,young_man,N,an employee whose first loyalty is to the company rather than to fellow workers,company_woman,,,company_man,N,an employee whose first loyalty is to the company rather than to fellow workers
con_,young_man,N,a swindler who exploits the confidence of his victim,con_woman,,,con_man,N,a swindler who exploits the confidence of his victim
confidence_,young_man,N,a swindler who exploits the confidence of his victim,confidence_woman,,,confidence_man,N,a swindler who exploits the confidence of his victim
conjure_,young_man,N,a witch doctor who practices conjury,conjure_woman,,,conjure_man,N,a witch doctor who practices conjury
corner_,young_man,M,a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor,corner_woman,,,corner_man,M,a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor
cousin-ger,young_man,N,the child of your aunt or uncle,cousin-gerwoman,,,cousin-german,N,the child of your aunt or uncle
cow_,young_man,M,a man who raises (or tends) cattle,cow_woman,,,cow_man,M,a man who raises (or tends) cattle
cow,young_man,N,a hired hand who tends cattle and performs other duties on horseback,cowwoman,,,cowman,N,a hired hand who tends cattle and performs other duties on horseback
cracks,young_man,N,a thief who breaks open safes to steal valuable contents,crackswoman,,,cracksman,N,a thief who breaks open safes to steal valuable contents
crafts,young_man,,a professional whose work is consistently of high quality,craftswoman,,,craftsman,,a professional whose work is consistently of high quality
crags,young_man,,a climber of vertical rock faces,cragswoman,,,cragsman,,a climber of vertical rock faces
crew,young_man,N,any member of a ship's crew,crewwoman,,,crewman,N,any member of a ship's crew
customer's_,young_man,N,someone in charge of a client's account for an advertising agency or brokerage or other service business,customer's_woman,,,customer's_man,N,someone in charge of a client's account for an advertising agency or brokerage or other service business
dairy,young_man,N,the owner or manager of a dairy,dairywoman,,,dairyman,N,the owner or manager of a dairy
dales,young_man,N,a person who lives in the dales of northern England,daleswoman,,,dalesman,N,a person who lives in the dales of northern England
david_barnard_stein,young_man,PPN,United States civil engineer noted for designing suspension bridges (including the George Washington Bridge) (1886-1960),david_barnard_steinwoman,,,david_barnard_steinman,PPN,United States civil engineer noted for designing suspension bridges (including the George Washington Bridge) (1886-1960)
david_ries,young_man,PPN,United States sociologist (1909-2002),david_rieswoman,,,david_riesman,PPN,United States sociologist (1909-2002)
delivery,young_man,N,someone employed to make deliveries,deliverywoman,,,deliveryman,N,someone employed to make deliveries
desk,young_man,N,the police sergeant on duty in a police station,deskwoman,,,deskman,N,the police sergeant on duty in a police station
dirty_old_,young_man,M,a middle-aged man with lecherous inclinations,dirty_old_woman,,,dirty_old_man,M,a middle-aged man with lecherous inclinations
divorced_,young_man,M,a man who is divorced from (or separated from) his wife,divorced_woman,,,divorced_man,M,a man who is divorced from (or separated from) his wife
domingo_de_guz,young_man,PPN,(Roman Catholic Church) Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170-1221),domingo_de_guzwoman,,,domingo_de_guzman,PPN,(Roman Catholic Church) Spanish priest who founded an order whose members became known as Dominicans or Black Friars (circa 1170-1221)
door,young_man,N,someone who guards an entrance,doorwoman,,,doorman,N,someone who guards an entrance
drafts,young_man,N,a skilled worker who draws plans of buildings or machines,draftswoman,,,draftsman,N,a skilled worker who draws plans of buildings or machines
drago,young_man,N,an interpreter and guide in the Near East; in the Ottoman Empire in the 18th and 19th centuries a translator of European languages for the Turkish and Arab authorities and most dragomans were Greek (many reached high positions in the government),dragowoman,,,dragoman,N,an interpreter and guide in the Near East; in the Ottoman Empire in the 18th and 19th centuries a translator of European languages for the Turkish and Arab authorities and most dragomans were Greek (many reached high positions in the government)
draughts,young_man,N,a skilled worker who draws plans of buildings or machines,draughtswoman,,,draughtsman,N,a skilled worker who draws plans of buildings or machines
dustin_hoff,young_man,PPN,versatile United States film actor (born in 1937),dustin_hoffwoman,,,dustin_hoffman,PPN,versatile United States film actor (born in 1937)
dust,young_man,N,someone employed to collect and dispose of refuse,dustwoman,,,dustman,N,someone employed to collect and dispose of refuse
dutch,young_man,N,a native or inhabitant of Holland,dutchwoman,,,dutchman,N,a native or inhabitant of Holland
e._h._harri,young_man,PPN,United States railway tycoon (1848-1909),e._h._harriwoman,,,e._h._harriman,PPN,United States railway tycoon (1848-1909)
earth,young_man,N,an inhabitant of the earth,earthwoman,,,earthman,N,an inhabitant of the earth
east,young_man,PPN,United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932),eastwoman,,,eastman,PPN,United States inventor of a dry-plate process of developing photographic film and of flexible film (his firm introduced roll film) and of the box camera and of a process for color photography (1854-1932)
edward_henry_harri,young_man,PPN,United States railway tycoon (1848-1909),edward_henry_harriwoman,,,edward_henry_harriman,PPN,United States railway tycoon (1848-1909)
eijk,young_man,PPN,Dutch physician who discovered that beriberi is caused by a nutritional deficiency (1858-1930),eijkwoman,,,eijkman,PPN,Dutch physician who discovered that beriberi is caused by a nutritional deficiency (1858-1930)
ek,young_man,PPN,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954),ekwoman,,,ekman,PPN,Swedish oceanographer who recognized the role of the Coriolis effect on ocean currents (1874-1954)
elder_states,young_man,N,any influential person whose advice is highly respected,elder_stateswoman,,,elder_statesman,N,any influential person whose advice is highly respected
elevator_,young_man,M,a man employed to operate an elevator,elevator_woman,,,elevator_man,M,a man employed to operate an elevator
elizabeth_cochrane_sea,young_man,PPN,muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922),elizabeth_cochrane_seawoman,,,elizabeth_cochrane_seaman,PPN,muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922)
elizabeth_sea,young_man,PPN,muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922),elizabeth_seawoman,,,elizabeth_seaman,PPN,muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922)
emma_gold,young_man,PPN,United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940),emma_goldwoman,,,emma_goldman,PPN,United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940)
end_,young_man,M,a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor,end_woman,,,end_man,M,a man at one end of line of performers in a minstrel show; carries on humorous dialogue with the interlocutor
ent_,young_man,,a specialist in the disorders of the ear or nose or throat,ent_woman,,,ent_man,,a specialist in the disorders of the ear or nose or throat
ethel_mer,young_man,PPN,United States singer who appeared in several musical comedies (1909-1984),ethel_merwoman,,,ethel_merman,PPN,United States singer who appeared in several musical comedies (1909-1984)
every,young_man,N,the ordinary person,everywoman,,,everyman,N,the ordinary person
ex-service,young_man,N,a person who has served in the armed forces,ex-servicewoman,,,ex-serviceman,N,a person who has served in the armed forces
excise,young_man,N,someone who collects taxes for the government,excisewoman,,,exciseman,N,someone who collects taxes for the government
family_,young_man,M,a man whose family is of major importance in his life,family_woman,,,family_man,M,a man whose family is of major importance in his life
feral_,young_man,N,a person who is not socialized,feral_woman,,,feral_man,N,a person who is not socialized
ferry,young_man,M,a man who operates a ferry,ferrywoman,,,ferryman,M,a man who operates a ferry
feyn,young_man,PPN,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988),feynwoman,,,feynman,PPN,United States physicist who contributed to the theory of the interaction of photons and electrons (1918-1988)
fields,young_man,N,a member of the cricket team that is fielding rather than batting,fieldswoman,,,fieldsman,N,a member of the cricket team that is fielding rather than batting
fingerprint_,young_man,N,a specialist in identifying fingerprints,fingerprint_woman,,,fingerprint_man,N,a specialist in identifying fingerprints
fire,young_man,N,a laborer who tends fires (as on a coal-fired train or steamship),firewoman,,,fireman,N,a laborer who tends fires (as on a coal-fired train or steamship)
first_base,young_man,,(baseball) the person who plays first base,first_basewoman,,,first_baseman,,(baseball) the person who plays first base
fisher,young_man,N,someone whose occupation is catching fish,fisherwoman,,,fisherman,N,someone whose occupation is catching fish
flying_dutch,young_man,N,the captain of a phantom ship (the Flying Dutchman) who was condemned to sail against the wind until Judgment Day,flying_dutchwoman,,,flying_dutchman,N,the captain of a phantom ship (the Flying Dutchman) who was condemned to sail against the wind until Judgment Day
foe,young_man,N,an armed adversary (especially a member of an opposing military force),foewoman,,,foeman,N,an armed adversary (especially a member of an opposing military force)
foot,young_man,M,a man employed as a servant in a large establishment (as a palace) to run errands and do chores,footwoman,,,footman,M,a man employed as a servant in a large establishment (as a palace) to run errands and do chores
four-minute_,young_man,N,someone who has run the mile in less that 4 minutes,four-minute_woman,,,four-minute_man,N,someone who has run the mile in less that 4 minutes
fried,young_man,PPN,United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born in 1912),friedwoman,,,friedman,PPN,United States economist noted as a proponent of monetarism and for his opposition to government intervention in the economy (born in 1912)
frog,young_man,N,someone who works underwater,frogwoman,,,frogman,N,someone who works underwater
front_,young_man,N,a person used as a cover for some questionable activity,front_woman,,,front_man,N,a person used as a cover for some questionable activity
fugle,young_man,N,a leader and organizer and spokesman (especially a political leader),fuglewoman,,,fugleman,N,a leader and organizer and spokesman (especially a political leader)
g-,young_man,N,a special law-enforcement agent of the Federal Bureau of Investigation,g-woman,,,g-man,N,a special law-enforcement agent of the Federal Bureau of Investigation
gag,young_man,N,a comedian who uses gags,gagwoman,,,gagman,N,a comedian who uses gags
garbage_,young_man,N,someone employed to collect and dispose of refuse,garbage_woman,,,garbage_man,N,someone employed to collect and dispose of refuse
garbage,young_man,N,someone employed to collect and dispose of refuse,garbagewoman,,,garbageman,N,someone employed to collect and dispose of refuse
gas,young_man,N,someone employed by a gas company,gaswoman,,,gasman,N,someone employed by a gas company
gentle's_gentle,young_man,M,a manservant who acts as a personal attendant to his employer,gentlewoman's_gentlewoman,,,gentleman's_gentleman,M,a manservant who acts as a personal attendant to his employer
